,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,31,VAN AVERMAET Greg,31,BMC Racing Team,500.0,225.0,5:39:05,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
1,2,101,KEUKELEIRE Jens,28,ORICA-Scott,400.0,150.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
2,3,1,SAGAN Peter,27,BORA - hansgrohe,325.0,110.0,0:060:06,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
3,4,17,TERPSTRA Niki,32,Quick-Step Floors,275.0,90.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
4,5,167,DEGENKOLB John,28,Trek - Segafredo,225.0,80.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
5,6,11,BOONEN Tom,36,Quick-Step Floors,175.0,70.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
6,7,21,DEBUSSCHERE Jens,27,Lotto Soudal,150.0,60.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
7,8,155,MATTHEWS Michael,26,Team Sunweb,125.0,50.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
8,9,14,GAVIRIA Fernando,22,Quick-Step Floors,100.0,46.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
9,10,176,MODOLO Sacha,29,UAE Team Emirates,85.0,42.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
10,11,228,VANTOMME Maxime,31,WB Veranclassic Aqua Protect,70.0,38.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
11,12,186,VAN LERBERGHE Bert,24,Sport Vlaanderen - Baloise,60.0,34.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
12,13,64,COLBRELLI Sonny,26,Bahrain Merida Pro Cycling Team,50.0,30.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
13,14,6,SAGAN Juraj,28,BORA - hansgrohe,40.0,26.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
14,15,214,LAPORTE Christophe,24,"Cofidis, Solutions Crédits",35.0,22.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
15,16,154,KRAGH ANDERSEN Søren,22,Team Sunweb,30.0,20.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
16,17,2,BENNETT Sam,26,BORA - hansgrohe,30.0,18.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
17,18,136,VAN EMDEN Jos,32,Team LottoNL-Jumbo,30.0,17.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
18,19,162,THEUNS Edward,25,Trek - Segafredo,30.0,16.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
19,20,191,VAN KEIRSBULCK Guillaume,26,Wanty - Groupe Gobert,30.0,15.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
20,21,142,STANNARD Ian,29,Team Sky,20.0,14.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
21,22,41,NAESEN Oliver,26,AG2R La Mondiale,20.0,13.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
22,23,246,VERMELTFOORT Coen,28,Roompot - Nederlandse Loterij,20.0,12.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
23,24,96,BENNATI Daniele,36,Movistar Team,20.0,11.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
24,25,175,MARCATO Marco,33,UAE Team Emirates,20.0,10.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
25,26,107,MEZGEC Luka,28,ORICA-Scott,20.0,9.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
26,27,38,VLIEGEN Loïc,23,BMC Racing Team,20.0,8.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
27,28,98,SÜTTERLIN Jasha,24,Movistar Team,20.0,7.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
28,29,118,THWAITES Scott,27,Team Dimension Data,20.0,6.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
29,30,193,OFFREDO Yoann,30,Wanty - Groupe Gobert,20.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
30,31,23,MAES Nikolas,30,Lotto Soudal,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
31,32,71,BETTIOL Alberto,23,Cannondale-Drapac Pro Cycling Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
32,33,58,VALGREN Michael,25,Astana Pro Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
33,34,46,HOULE Hugo,26,AG2R La Mondiale,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
34,35,135,TANKINK Bram,38,Team LottoNL-Jumbo,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
35,36,213,HOFSTETTER Hugo,23,"Cofidis, Solutions Crédits",10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
36,37,62,BONIFAZIO Niccolò,23,Bahrain Merida Pro Cycling Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
37,38,184,VAN GESTEL Dries,22,Sport Vlaanderen - Baloise,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
38,39,33,OSS Daniel,30,BMC Racing Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
39,40,54,GRIVKO Andrey,33,Astana Pro Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
40,41,22,ROELANDTS Jürgen,31,Lotto Soudal,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
41,42,32,DILLIER Silvan,26,BMC Racing Team,10.0,5.0,",,0:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
42,43,105,DOCKER Mitchell,30,ORICA-Scott,10.0,5.0,0:130:13,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
43,44,111,BOASSON HAGEN Edvald,29,Team Dimension Data,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
44,45,168,DE KORT Koen,34,Trek - Segafredo,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
45,46,161,STUYVEN Jasper,24,Trek - Segafredo,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
46,47,104,JUUL-JENSEN Christopher,27,ORICA-Scott,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
47,48,15,VERMOTE Julien,27,Quick-Step Floors,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
48,49,13,LAMPAERT Yves,25,Quick-Step Floors,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
49,50,165,FELLINE Fabio,26,Trek - Segafredo,10.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
50,51,18,TRENTIN Matteo,27,Quick-Step Floors,5.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
51,52,16,ŠTYBAR Zdeněk,31,Quick-Step Floors,5.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
52,53,212,CLAEYS Dimitri,29,"Cofidis, Solutions Crédits",5.0,5.0,",,0:13",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
53,54,68,PIBERNIK Luka,23,Bahrain Merida Pro Cycling Team,5.0,5.0,0:300:30,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
54,55,72,VAN ASBROECK Tom,26,Cannondale-Drapac Pro Cycling Team,5.0,5.0,1:201:20,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
55,56,28,SIEBERG Marcel,34,Lotto Soudal,3.0,5.0,1:321:32,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
56,57,132,VAN HOECKE Gijs,25,Team LottoNL-Jumbo,3.0,5.0,7:267:26,Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
57,58,244,LIGTHART Pim,28,Roompot - Nederlandse Loterij,3.0,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
58,59,47,DUVAL Julien,26,AG2R La Mondiale,3.0,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
59,60,247,REINDERS Elmar,25,Roompot - Nederlandse Loterij,3.0,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
60,61,52,DE VREESE Laurens,28,Astana Pro Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
61,62,25,HOFLAND Moreno,25,Lotto Soudal,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
62,63,205,DUIJN Huub,32,Vérandas Willems-Crelan,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
63,64,12,KEISSE Iljo,34,Quick-Step Floors,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
64,65,37,VENTOSO Francisco José,34,BMC Racing Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
65,66,117,THOMSON Jay Robert,30,Team Dimension Data,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
66,67,92,BARBERO Carlos,25,Movistar Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
67,68,128,ZABEL Rick,23,Team Katusha Alpecin,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
68,69,124,KUZNETSOV Viacheslav,27,Team Katusha Alpecin,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
69,70,199,MCNALLY Mark,27,Wanty - Groupe Gobert,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
70,71,171,CONSONNI Simone,22,UAE Team Emirates,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
71,72,77,MULLEN Ryan,22,Cannondale-Drapac Pro Cycling Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
72,73,121,KRISTOFF Alexander,29,Team Katusha Alpecin,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
73,74,195,PASQUALON Andrea,29,Wanty - Groupe Gobert,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
74,75,187,VAN ROOY Kenneth,23,Sport Vlaanderen - Baloise,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
75,76,114,EISEL Bernhard,36,Team Dimension Data,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
76,77,236,VAN WINDEN Dennis,29,Israel Cycling Academy,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
77,78,81,DÉMARE Arnaud,25,FDJ,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
78,79,157,TEUNISSEN Mike,24,Team Sunweb,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
79,80,133,GROENEWEGEN Dylan,23,Team LottoNL-Jumbo,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
80,81,134,JANSEN Amund Grøndahl,23,Team LottoNL-Jumbo,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
81,82,36,KÜNG Stefan,23,BMC Racing Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
82,83,63,BOŽIČ Borut,36,Bahrain Merida Pro Cycling Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
83,84,26,WALLAYS Jelle,27,Lotto Soudal,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
84,85,122,PLANCKAERT Baptiste,28,Team Katusha Alpecin,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
85,86,55,GRUZDEV Dmitriy,31,Astana Pro Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
86,87,181,VAN HECKE Preben,34,Sport Vlaanderen - Baloise,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
87,88,243,KREDER Raymond,27,Roompot - Nederlandse Loterij,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
88,89,242,DE VRIES Berden,28,Roompot - Nederlandse Loterij,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
89,90,35,TEUNS Dylan,25,BMC Racing Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
90,91,48,BAGDONAS Gediminas,31,AG2R La Mondiale,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
91,92,95,CARRETERO Héctor,21,Movistar Team,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
92,93,4,BURGHARDT Marcus,33,BORA - hansgrohe,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
93,94,3,BODNAR Maciej,32,BORA - hansgrohe,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
94,95,131,BOOM Lars,31,Team LottoNL-Jumbo,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
95,96,115,FARRAR Tyler,32,Team Dimension Data,,5.0,",,7:26",Gent_Wevelgem_in_Flanders_Fields_ME,0,26 March 2017,44.06 km/h,0,249 km,23
